Stops1,Stops2,Stops3,Stops4,Stops5,Stops6,Stops7,Stops8,Stops9,Stops10,Stops11,Stops12,Stops13,Stops14,Stops15,Stops16,Stops17,Stops18,Stops19,Stops20,Stops21,Stops22,Stops23,Stops24,Stops25,Stops26,Stops27,Stops28,Stops29,Stops30,Stops31,Stops32,Stops33,Stops34,Stops35,Stops36,Stops37,Stops38,Stops39,Stops40,Stops41,Stops42,Stops43,Stops44,Stops45,Stops46,Stops47,Stops48,Stops49,Stops50,Stops51,Stops52,Stops53,Stops54,Stops55,Stops56,Stops57,Stops58,Stops59,Stops60,Stops61,Stops62,Stops63,Stops64,Stops65,Stops66,Stops67,Stops68,Stops69,Stops70,Stops71,Stops72,Stops73,Stops74,Stops75,Stops76,Stops77,Stops78,Stops79,Stops80,Stops81,Stops82,Stops83,Stops84,Stops85,Stops86,Stops87,Stops88,Stops89,Stops90,Stops91,Stops92,Stops93,Stops94,Stops95,Stops96,Stops97,Stops98,Stops99,Stops100,Stops101,Stops102,Stops103,Stops104,Stops105,Stops106,Stops107,Stops108,Stops109,Stops110
"[14.6225224197085,120.9877771197085],","[14.6190365,120.9877170697085],","[14.61911029816069, 120.98899395571011],","[14.6133752,120.9876321],","[14.6109975,120.9861981],","[14.6045196,120.9847642],","[14.6045196,120.9847642],","[14.6058021197085,120.9845897197085],","[14.5972897,120.9833302],","[14.5972897,120.9833302],","[14.5944751,120.9808206],","[14.5826472,120.9750843],","[14.5885644197085,120.9793338197085],","[14.5848864197085,120.9813092197085],","[14.5822017197085,120.9826399197085],","[14.580272600706673, 120.98583108965893],","[14.5785440197085,120.9846982197085],","[14.57992786357945, 120.98610843802997],","[14.580272600706673, 120.98583108965893],","[14.5690648197085,120.9902457197085],","[14.5682584197085,120.9876976197085],","[14.568961282675307, 120.98679712493431],","[14.5583753197085,120.9916265197085],","[14.54691169999997,120.9926156],","[14.54691169999997,120.9926156],","[14.5348332,120.9962356],","[14.54691169999997,120.9926156],","[14.5392805,120.9969525]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.624286155149399, 120.98297226786374],","[14.570722733553463, 120.98450638265032],","[14.591802627277922, 120.98188126263749],","[14.591802627277922, 120.98188126263749],","[14.6110566697085,120.9812096197085],","[14.6130269197085,120.9809612697085],","[14.5988986,120.9790281],","[14.5988986,120.9790281],","[14.5981755197085,120.9827680197085],","[14.5988986,120.9790281],","[14.5989416197085,120.9793331197085],","[14.5977924697085,120.9788890697085],","[14.5885644197085,120.9793338197085],","[14.56526427427887,120.99383650480966],","[14.5848864197085,120.9813092197085],","[14.56526427427887,120.99383650480966],","[14.5785440197085,120.9846982197085],","[14.56526427427887,120.99383650480966],","[14.56526427427887,120.99383650480966],","[14.5690648197085,120.9902457197085],","[14.5690648197085,120.9902457197085],","[14.56526427427887,120.99383650480966],","[14.56526427427887,120.99383650480966],","[14.53763789999998,120.9953855]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.64889859823801, 120.95108125002533],","[14.645117893586734, 120.95329259425708],","[14.6430461169427, 120.95490092201469],","[14.641320519897993, 120.95616975660296],","[14.625484671566054, 120.95994943095313],","[14.622967279862713, 120.95989063019618],","[14.619676692651971, 120.95971668443747],","[14.616702288629554, 120.95996599179193],","[14.61493360197185, 120.96008562001472],","[14.609451320603167, 120.96146564512924],","[14.609601551158608, 120.96294543760608],","[14.609763983766578, 120.96510450974412],","[14.609925413556969, 120.96675087998571],","[14.609181557391267, 120.96761652817045],","[14.608251019729478, 120.96729116101113]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5842032,120.9693478],","[14.5842032,120.9693478],","[14.5842032,120.9693478],","[14.5889600197085,120.9687639197085],","[14.5894591197085,120.9695226197085],","[14.584005757418213, 120.9852190420949],","[14.5976497,120.962356],","[14.5976497,120.962356],","[14.6008246697085,120.9612959697085],","[14.5963644,120.9639695]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.56158879999997,120.9982477],","[14.5667635197085,121.0025432697085],","[14.5590401,120.9869151],","[14.5646040197085,120.9965780197085],","[14.5628423,120.9861981],","[14.5613190197085,120.9938818197085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5870989,120.966838],","[14.584079404027253, 120.97335424386804],","[14.5826472,120.9750843],","[14.5694926,120.9851227],","[14.5804762,120.9782401],","[14.564918761973287, 120.9861416531221],","[14.5747609197085,120.9805570197085],","[14.570733238211494, 120.9844602532694],","[14.5765181697085,120.9846007197085],","[14.5746545697085,120.9861513197085],","[14.578743594881558, 120.99824071203912],","[14.578783138962512, 120.99741491837625],","[14.5711007,120.9847642],","[14.5618191,120.9974419],","[14.5636027,120.9919339],","[14.57245743293249, 120.99925513878375],","[14.57250277267943, 121.00196597816101]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.6225224197085,120.9877771197085],","[14.6190365,120.9877170697085],","[14.61911029816069, 120.98899395571011],","[14.5996872,120.9850394],","[14.61290842094802, 120.98758607685053],","[14.6045196,120.9847642],","[14.6045196,120.9847642],","[14.6058021197085,120.9845897197085],","[14.5972897,120.9833302],","[14.5972897,120.9833302],","[14.5942531697085,120.9808099197085],","[14.5826472,120.9750843],","[14.5885644197085,120.9793338197085],","[14.5841114697085,120.9773827697085],","[14.5841114697085,120.9773827697085],","[14.5694926,120.9851227],","[14.5804762,120.9782401],","[14.564918761973287, 120.9861416531221],","[14.5747609197085,120.9805570197085],","[14.570733238211494, 120.9844602532694],","[14.564918761973287, 120.9861416531221],","[14.570733238211494, 120.9844602532694],","[14.564918761973287, 120.9861416531221],","[14.5635902197085,120.9848596197085],","[14.564497992460518, 120.98715002086136],","[14.5688455197085,120.9902411197085],","[14.5553593197085,120.9894964197085],","[14.55134439999997,120.9861736],","[14.55134439999997,120.9861736],","[14.55134439999997,120.9861736],","[14.54691169999997,120.9926156],","[14.5348332,120.9962356],","[14.54691169999997,120.9926156],","[14.5348332,120.9962356]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.584079404027253, 120.97335424386804],","[14.595415,120.9791131197085],","[14.5988986,120.9790281],","[14.5989416197085,120.9793331197085],","[14.5988986,120.9790281],","[14.5981755197085,120.9827680197085],","[14.5981755197085,120.9827680197085],","[14.5981755197085,120.9827680197085],","[14.5988986,120.9790281],","[14.5988986,120.9790281],","[14.6130269197085,120.9809612697085],","[14.6110566697085,120.9812096197085],","[14.61439414975918, 120.98234643624801],","[14.615635533965461, 120.9825307246971],","[14.62259826739451, 120.9828931161176],","[14.6215558197085,120.9814994197085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.6020735,120.9862831197085],","[14.60525949999997,120.9880394],","[14.6208307,120.9927227]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.564497992460518, 120.98715002086136],","[14.5635902197085,120.9848596197085],","[14.570813337698528, 120.98446492550579],","[14.564918761973287, 120.9861416531221],","[14.570733238211494, 120.9844602532694],","[14.564918761973287, 120.9861416531221],","[14.570733238211494, 120.9844602532694],","[14.564918761973287, 120.9861416531221],","[14.5747609197085,120.9805570197085],","[14.5786881697085,120.9792153697085],","[14.5804762,120.9782401],","[14.5694926,120.9851227],","[14.5826472,120.9750843],","[14.56526427427887,120.99383650480966],","[14.5826472,120.9750843],","[14.5972897,120.9833302],","[14.6039105197085,120.9866904197085],","[14.6088467197085,120.9881436697085],","[14.6088467197085,120.9881436697085],","[14.6080435197085,120.9913590197085],","[14.60525949999997,120.9880394],","[14.60525949999997,120.9880394],","[14.6135330197085,120.9972356197085],","[14.60525949999997,120.9880394],","[14.61446379999997,120.9957848],","[14.6135162197085,121.0025056697085],","[14.6163908697085,121.0114945197085],","[14.6150057,121.0016124],","[14.61846534098011, 121.01254955212568],","[14.61867111970849,121.0162097697085],","[14.6229412197085,121.0415216197085],","[14.6199977697085,121.0206315697085],","[14.6210885197085,121.0240886197085],","[14.6216131197085,121.0267074197085],","[14.6228617197085,121.0291284197085],","[14.6236701,121.0320766],","[14.6267988,121.03351],","[14.6231979697085,121.0360921697085],","[14.6267988,121.03351],","[14.6267988,121.03351],","[14.6290912197085,121.0435139197085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5692133,120.9976694],","[14.55368909999997,120.9969352],","[14.5711007,120.9847642],","[14.5714506,120.9875425],","[14.5795232197085,120.9866609197085],","[14.5785440197085,120.9846982197085],","[14.5770639197085,120.9822412197085],","[14.5763492197085,120.9805408197085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.591222389726374, 120.98188729607794],","[14.5826472,120.9750843],","[14.5972897,120.9833302],","[14.6039105197085,120.9866904197085],","[14.6088467197085,120.9881436697085],","[14.6088467197085,120.9881436697085],","[14.6098287197085,120.9919861197085],","[14.60525949999997,120.9880394],","[14.60525949999997,120.9880394],","[14.6135330197085,120.9972356197085],","[14.60525949999997,120.9880394],","[14.6176327197085,121.0015090197085],","[14.6186966197085,121.0029872197085],","[14.6214894197085,121.0056344697085],","[14.6175311,120.9991032],","[14.6175311,120.9991032],","[14.6250373697085,121.0091827197085],","[14.6175311,120.9991032],","[14.6298284697085,121.0156390697085],","[14.6331148697085,121.0208065197085],","[14.6319817197085,121.0177600197085],","[14.6175311,120.9991032],","[14.6358846197085,121.0247182197085],","[14.6359512697085,121.0252900197085],","[14.6323327,121.0249093],","[14.6302076697085,121.0412091197085],","[14.6267988,121.03351],","[14.6231979697085,121.0360921697085],","[14.6267988,121.03351],","[14.6267988,121.03351],","[14.6290912197085,121.0435139197085],","[14.6298638197085,121.0460660197085],","[14.6305565197085,121.0484804197085],","[14.6331479197085,121.0575284197085],","[14.6319471197085,121.0577939197085],","[14.6300720197085,121.0597167697085],","[14.6294633197085,121.0597266197085],","[14.6272507197085,121.0617076197085],","[14.6272763197085,121.0631006697085],","[14.628192,121.0628914],","[14.6288108197085,121.0675109197085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.67208158539152, 120.93772079182841],","[14.670795179157812, 120.94091231002386],","[14.66991924187027, 120.94201579655368],","[14.668317433305605, 120.94309952130021],","[14.666747823860062, 120.94429805531784],","[14.66304198077385, 120.94530658894331],","[14.651163275837838, 120.95042019247502],","[14.648917922738336, 120.95108125606842],","[14.645010336356844, 120.95338970750241],","[14.642969819097639, 120.95486147546006],","[14.641327406436949, 120.95617072027],","[14.637462525128136, 120.95997604910205],","[14.635319238607764, 120.96213301701454],","[14.631981650603175, 120.96366231804299],","[14.629760248891671, 120.96466823322797],","[14.626998292008095, 120.96592782864496],","[14.62418334409568, 120.96786881111099],","[14.622978685858923, 120.97046542241371],","[14.622083009131474, 120.97219832108452],","[14.620161535178521, 120.97152678084262],","[14.618354196709328, 120.97082974574951],","[14.609167443741724, 120.96762222339667],","[14.608237528835696, 120.9672930030432],","[14.607053809999135, 120.9674596024929]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.589277469067987, 120.98221724845368],","[14.5972897,120.9833302],","[14.6058021197085,120.9845897197085],","[14.6045196,120.9847642],","[14.6045196,120.9847642],","[14.61290842094802, 120.98758607685053],","[14.6109975,120.9861981],","[14.62082079999998,120.9961558],","[14.616371504466642, 120.991283648535],","[14.62082079999998,120.9961558],","[14.6194718197085,120.9948068197085],","[14.6209582197085,120.9964309197085],","[14.6208307,120.9927227]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.6065238,120.9732917],","[14.6065238,120.9732917],","[14.6090888197085,120.9727813197085],","[14.6056667,120.9732917],","[14.6112383197085,120.9750810197085],","[14.6128793197085,120.9738859197085],","[14.6140714197085,120.9757448197085],","[14.6154027197085,120.9760572197085],","[14.618913577195265, 120.9776893336625],","[14.6168428197085,120.9786696197085],","[14.618913577195265, 120.9776893336625],","[14.618913577195265, 120.9776893336625],","[14.618913577195265, 120.9776893336625],","[14.625770250331126, 120.97857146688791],","[14.618913577195265, 120.9776893336625],","[14.628971182159662, 120.97950659341573],","[14.63045159361572, 120.98004559958223],","[14.6306241197085,120.9790730197085],","[14.6391751197085,120.9784507197085],","[14.6348973197085,120.9810326697085],","[14.6024545197085,120.9805437197085],","[14.5988986,120.9790281],","[14.6208596197085,120.9814442697085],","[14.6403005197085,120.978311],","[14.6444719,120.9830567197085],","[14.640429,120.9841321697085],","[14.6430042197085,120.9829772197085],","[14.6475172697085,120.9847030197085],","[14.5988986,120.9790281],","[14.6458748197085,120.9762841],","[14.6474444,120.9759807],","[14.5988986,120.9790281],","[14.5988986,120.9790281],","[14.6540105697085,120.9827496697085],","[14.5988986,120.9790281],","[14.6574006197085,120.9840755197085],","[14.6589263197085,120.9825964197085],","[14.6603767197085,120.9827274197085],","[14.66008849999997,120.9803191],","[14.6651303,120.9840472],","[14.667633359395753, 120.98232662749828],","[14.6682560197085,120.9810627697085],","[14.6711859697085,120.9809847697085],","[14.6738770197085,120.9799227197085],","[14.6764370697085,120.9789091197085],","[14.68015846970849,120.9774117197085],","[14.6823104197085,120.9762477697085],","[14.6847886197085,120.9747939197085],","[14.6838480697085,120.9756561197085],","[14.6863445197085,120.9738728197085],","[14.6953397197085,120.9724239197085],","[14.690186809428138, 120.9749600997426],","[14.7030429697085,120.9597091697085],","[14.6911227197085,120.9694144197085],","[14.692860088781915, 120.96848173336316],","[14.6915201197085,120.9647879197085],","[14.69281674456227, 120.96415290096552],","[14.69142969999997,120.9629079],","[14.69553399999997,120.9591859]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5989322,120.964597],","[14.6023866197085,120.9669963197085],","[14.6037499197085,120.9683995197085],","[14.59890426970849,120.9936710197085],","[14.6054904697085,120.9720463697085],","[14.6030872, 120.9741307],","[14.6010326,120.9747258],","[14.6000706,120.9774998197085],","[14.6022231197085,120.9817659197085],","[14.5973569697085,120.9802448197085],","[14.6007799197085,120.9857519197085],","[14.6009168697085,120.9916034197085],","[14.60075869999998,120.9993774],","[14.60075869999998,120.9993774],","[14.6004065697085,121.0039445697085],","[14.6007296197085,121.0067144197085],","[14.60075869999998,120.9993774],","[14.60075869999998,120.9993774],","[14.5958127,121.015591],","[14.5991355,121.0116485],","[14.6012427697085,121.0196449697085],","[14.604802536444542, 121.02251072515983],","[14.606067237688249, 121.02354773785234],","[14.60202519999998,121.0205408],","[14.6063785197085,121.0255257197085],","[14.6018764697085,121.0199851197085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.580272600706673, 120.98583108965893],","[14.5826472,120.9750843],","[14.5972897,120.9833302],","[14.6039105197085,120.9866904197085],","[14.6088467197085,120.9881436697085],","[14.6088467197085,120.9881436697085],","[14.6080435197085,120.9913590197085],","[14.6098287197085,120.9919861197085],","[14.60525949999997,120.9880394],","[14.60525949999997,120.9880394],","[14.6135330197085,120.9972356197085],","[14.60525949999997,120.9880394],","[14.6176327197085,121.0015090197085],","[14.6186966197085,121.0029872197085],","[14.6175311,120.9991032],","[14.6214894197085,121.0056344697085],","[14.6175311,120.9991032],","[14.6175311,120.9991032],","[14.6250373697085,121.0091827197085],","[14.6175311,120.9991032],","[14.628974150182339, 121.0138148310535],","[14.6298284697085,121.0156390697085],","[14.6331148697085,121.0208065197085],","[14.6313686197085,121.0173181197085],","[14.6322457,121.0163079],","[14.6322457,121.0163079],","[14.6322457,121.0163079],","[14.6322457,121.0163079],","[14.6322457,121.0163079],","[14.6390698197085,121.0149912197085],","[14.6322457,121.0163079],","[14.6322457,121.0163079],","[14.6439388697085,121.0160920697085],","[14.6322457,121.0163079],","[14.6322457,121.0163079],","[14.6322457,121.0163079],","[14.6322457,121.0163079],","[14.6322457,121.0163079],","[14.6322457,121.0163079],","[14.6322457,121.0163079]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.5611438373378, 120.98888715912861],","[14.566533008767458, 120.98621965844511],","[14.569620793827985, 120.98405753782471],","[14.571791122438487, 120.98402347147233],","[14.574027957620249, 120.98302486802552],","[14.57545737840041, 120.98223027438092],","[14.57752070918114, 120.98130205058625],","[14.579903660911025, 120.98030875999837],","[14.583457686119651, 120.98045212504606],","[14.585325910840236, 120.97981596125936],","[14.587079770966543, 120.98070298517122],","[14.589967514597582, 120.98088224959213],","[14.593097050265872, 120.98010402576641],","[14.59562305190293, 120.98025800782752],","[14.598766002651491, 120.98134013236803],","[14.601572480742355, 120.98178983865907],","[14.603323687066073, 120.98198184055391],","[14.605404903314069, 120.98222213031202],","[14.607521093232643, 120.9822647095347],","[14.609998600044463, 120.98245004395797],","[14.611275127184081, 120.982545996834],","[14.614028307417028, 120.98271231091248],","[14.616356786639388, 120.9827269001388],","[14.618746109815632, 120.9828857708707],","[14.62106246430444, 120.98291225212462],","[14.622340039176136, 120.9829741727978],","[14.623858364200755, 120.98510557277469],","[14.624537927686502, 120.98643549980696],","[14.625045952072357, 120.98722249983022],","[14.624247224060031, 120.98914078175955],","[14.627542415902836, 120.99029841737115],","[14.629815787147514, 120.9910864368258],","[14.63201915056513, 120.99180163899968],","[14.634709797650444, 120.9926832475171],","[14.636342044940315, 120.99322838717042],","[14.637455632153745, 120.99448312325273],","[14.637701827306964, 120.99614109065595],","[14.637946758171212, 120.998023875026],","[14.638315939358922, 121.0007311657666],","[14.638644773973846, 121.00291925269748],","[14.638900607483382, 121.00487473842779],","[14.639069431106822, 121.00644512999314],","[14.63921231078306, 121.0078917826105],","[14.639579969146709, 121.01022348743064],","[14.639803288957227, 121.01184765873361],","[14.639986379581975, 121.0135381347066],","[14.640161732992699, 121.01492715811241],","[14.640405088561504, 121.01642608276694],","[14.641235785758504, 121.01651802266893],","[14.643501149199992, 121.01690348937856],","[14.644847311970747, 121.01714818460418],","[14.646880110117822, 121.01748244840311],","[14.648024046071368, 121.01769699245034],","[14.649654191700412, 121.01793029864413],","[14.651157916656226, 121.01813536177093],","[14.652671423466042, 121.0183836517339],","[14.654353519408932, 121.01858718216937],","[14.65560947896012, 121.01892956265064]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.6238367197085,120.9860963197085],","[14.6225224197085,120.9877771197085],","[14.6190365,120.9877170697085],","[14.61911029816069, 120.98899395571011],","[14.5996872,120.9850394],","[14.6109975,120.9861981],","[14.61290842094802, 120.98758607685053],","[14.6045196,120.9847642],","[14.6045196,120.9847642],","[14.6058021197085,120.9845897197085],","[14.5972897,120.9833302],","[14.5972897,120.9833302],","[14.5942531697085,120.9808099197085],","[14.5826472,120.9750843],","[14.5885644197085,120.9793338197085],","[14.580272600706673, 120.98583108965893],","[14.5848864197085,120.9813092197085],","[14.5822017197085,120.9826399197085],","[14.580272600706673, 120.98583108965893],","[14.5785440197085,120.9846982197085],","[14.57992786357945, 120.98610843802997],","[14.580272600706673, 120.98583108965893],","[14.5690648197085,120.9902457197085],","[14.5690648197085,120.9902457197085],","[14.580272600706673, 120.98583108965893],","[14.580272600706673, 120.98583108965893],","[14.53763789999998,120.9953855],","[14.53763789999998,120.9953855],","[14.53763789999998,120.9953855],","[14.5528582197085,120.9958418197085],","[14.5489394197085,120.9967755197085],","[14.53763789999998,120.9953855],","[14.53763789999998,120.9953855],","[14.53763789999998,120.9953855]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.624279747896841, 120.98299182216263],","[14.622662988515733, 120.98293276963696],","[14.603815404549563, 120.9818933266066],","[14.622770607859996, 120.98290252637382],","[14.6110566697085,120.9812096197085],","[14.6130269197085,120.9809612697085],","[14.5988986,120.9790281],","[14.5988986,120.9790281],","[14.5981755197085,120.9827680197085],","[14.5981755197085,120.9827680197085],","[14.6024989197085,120.9809686697085],","[14.5988986,120.9790281],","[14.5989416197085,120.9793331197085],","[14.5980915697085,120.9788431197085],","[14.5826472,120.9750843],","[14.5885644197085,120.9793338197085],","[14.580272600706673, 120.98583108965893],","[14.5848864197085,120.9813092197085],","[14.5822017197085,120.9826399197085],","[14.580272600706673, 120.98583108965893],","[14.5785440197085,120.9846982197085],","[14.57992786357945, 120.98610843802997],","[14.580272600706673, 120.98583108965893],","[14.5690648197085,120.9902457197085],","[14.5690648197085,120.9902457197085],","[14.580272600706673, 120.98583108965893],","[14.580272600706673, 120.98583108965893],","[14.53763789999998,120.9953855],","[14.53763789999998,120.9953855],","[14.53763789999998,120.9953855],","[14.5528582197085,120.9958418197085],","[14.5489394197085,120.9967755197085],","[14.53763789999998,120.9953855],","[14.53763789999998,120.9953855],","[14.53763789999998,120.9953855]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.510124900000001, 120.99130110576922],","[14.50587389999997,120.9859133],","[14.5362961197085,120.9992708197085],","[14.5374856,120.9999049197085],","[14.53763789999998,120.9953855],","[14.53763789999998,120.9953855],","[14.53763789999998,120.9953855],","[14.5489394197085,120.9967755197085],","[14.53763789999998,120.9953855],","[14.53763789999998,120.9953855],","[14.53763789999998,120.9953855],","[14.56526427427887,120.99383650480966],","[14.56526427427887,120.99383650480966],","[14.5690648197085,120.9902457197085],","[14.5690648197085,120.9902457197085],","[14.56526427427887,120.99383650480966],","[14.57341271970849,120.9877600697085],","[14.578743594881558, 120.99824071203912],","[14.5763922197085,120.9870599197085],","[14.5628423,120.9861981],","[14.5785440197085,120.9846982197085],","[14.56526427427887,120.99383650480966],","[14.5822017197085,120.9826399197085],","[14.5848864197085,120.9813092197085],","[14.56526427427887,120.99383650480966],","[14.5885644197085,120.9793338197085],","[14.56526427427887,120.99383650480966],","[14.5946816197085,120.9747191197085],","[14.5959313,120.9711405],","[14.5963988,120.9732917],","[14.5958568,120.9675551]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.510563407941646, 120.99102762450332],","[14.5353051697085,120.9926509],","[14.5353051697085,120.9926509],","[14.5364846197085,120.9943804197085],","[14.5382815197085,120.9940344197085],","[14.53227629999997,120.9893366],","[14.53227629999997,120.9893366],","[14.5447893197085,120.9925248197085],","[14.53227629999997,120.9893366],","[14.55134439999997,120.9861736],","[14.5553593197085,120.9894964197085],","[14.564497992460518, 120.98715002086136],","[14.5635902197085,120.9848596197085],","[14.570733238211494, 120.9844602532694],","[14.564918761973287, 120.9861416531221],","[14.570733238211494, 120.9844602532694],","[14.564918761973287, 120.9861416531221],","[14.570733238211494, 120.9844602532694],","[14.564918761973287, 120.9861416531221],","[14.5747609197085,120.9805570197085],","[14.5786881697085,120.9792153697085],","[14.5694926,120.9851227],","[14.5841114697085,120.9773827697085],","[14.5826472,120.9750843],","[14.5885644197085,120.9793338197085],","[14.580272600706673, 120.98583108965893],","[14.5946816197085,120.9747191197085],","[14.599771058239867, 120.97338667403704],","[14.5963988,120.9732917],","[14.5958568,120.9675551]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.510563407941646, 120.99102762450332],","[14.5353051697085,120.9926509],","[14.5353051697085,120.9926509],","[14.5364846197085,120.9943804197085],","[14.5382815197085,120.9940344197085],","[14.53227629999997,120.9893366],","[14.53227629999997,120.9893366],","[14.5447893197085,120.9925248197085],","[14.53227629999997,120.9893366],","[14.55134439999997,120.9861736],","[14.55134439999997,120.9861736],","[14.5553593197085,120.9894964197085],","[14.5688455197085,120.9902411197085],","[14.564497992460518, 120.98715002086136],","[14.5635902197085,120.9848596197085],","[14.570733238211494, 120.9844602532694],","[14.564918761973287, 120.9861416531221],","[14.570733238211494, 120.9844602532694],","[14.564918761973287, 120.9861416531221],","[14.570733238211494, 120.9844602532694],","[14.564918761973287, 120.9861416531221],","[14.5747609197085,120.9805570197085],","[14.5786881697085,120.9792153697085],","[14.5804762,120.9782401],","[14.5694926,120.9851227],","[14.5841114697085,120.9773827697085],","[14.5885644197085,120.9793338197085],","[14.580272600706673, 120.98583108965893],","[14.5826472,120.9750843],","[14.5972897,120.9833302],","[14.6058021197085,120.9845897197085],","[14.6045196,120.9847642],","[14.61290842094802, 120.98758607685053],","[14.6109975,120.9861981],","[14.62082079999998,120.9961558],","[14.613679219736929, 120.99604784348811],","[14.62082079999998,120.9961558],","[14.6194718197085,120.9948068197085],","[14.6209582197085,120.9964309197085]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[14.510563407941646, 120.99102762450332],","[14.5353051697085,120.9926509],","[14.5353051697085,120.9926509],","[14.5364846197085,120.9943804197085],","[14.5382815197085,120.9940344197085],","[14.53227629999997,120.9893366],","[14.53227629999997,120.9893366],","[14.5447893197085,120.9925248197085],","[14.53227629999997,120.9893366],","[14.55134439999997,120.9861736],","[14.5553593197085,120.9894964197085],","[14.564497992460518, 120.98715002086136],","[14.5635902197085,120.9848596197085],","[14.570733238211494, 120.9844602532694],","[14.564918761973287, 120.9861416531221],","[14.570733238211494, 120.9844602532694],","[14.564918761973287, 120.9861416531221],","[14.570733238211494, 120.9844602532694],","[14.564918761973287, 120.9861416531221],","[14.5747609197085,120.9805570197085],","[14.5786881697085,120.9792153697085],","[14.5694926,120.9851227],","[14.5841114697085,120.9773827697085],","[14.5826472,120.9750843],","[14.5885644197085,120.9793338197085],","[14.580272600706673, 120.98583108965893],","[14.5946816197085,120.9747191197085],","[14.599771058239867, 120.97338667403704],","[14.5963988,120.9732917],","[14.5958568,120.9675551]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
