longitude,latitude,phl_general_2020,geometry,index_right
121.01486111135324,14.578749999954344,7.257768,POINT (121.01486111135324 14.578749999954344),0
121.015138889131,14.578749999954344,7.257768,POINT (121.015138889131 14.578749999954344),0
121.01541666690878,14.578749999954344,7.257768,POINT (121.01541666690878 14.578749999954344),0
121.01569444468656,14.578749999954344,7.257768,POINT (121.01569444468656 14.578749999954344),0
121.01597222246434,14.578749999954344,7.257768,POINT (121.01597222246434 14.578749999954344),0
121.01625000024212,14.578749999954344,7.257768,POINT (121.01625000024212 14.578749999954344),0
121.01652777801988,14.578749999954344,7.257768,POINT (121.01652777801988 14.578749999954344),0
121.01680555579767,14.578749999954344,7.257768,POINT (121.01680555579767 14.578749999954344),0
121.01708333357544,14.578749999954344,7.257768,POINT (121.01708333357544 14.578749999954344),0
121.01736111135322,14.578749999954344,7.257768,POINT (121.01736111135322 14.578749999954344),0
121.017638889131,14.578749999954344,7.257768,POINT (121.017638889131 14.578749999954344),0
121.01208333357545,14.578472222176565,39.690804,POINT (121.01208333357545 14.578472222176565),0
121.0123611113532,14.578472222176565,39.690804,POINT (121.0123611113532 14.578472222176565),0
121.012638889131,14.578472222176565,39.690804,POINT (121.012638889131 14.578472222176565),0
121.01291666690878,14.578472222176565,39.690804,POINT (121.01291666690878 14.578472222176565),0
121.01319444468656,14.578472222176565,7.257768,POINT (121.01319444468656 14.578472222176565),0
121.01347222246432,14.578472222176565,7.257768,POINT (121.01347222246432 14.578472222176565),0
121.01375000024213,14.578472222176565,7.257768,POINT (121.01375000024213 14.578472222176565),0
121.0140277780199,14.578472222176565,7.257768,POINT (121.0140277780199 14.578472222176565),0
121.01430555579766,14.578472222176565,7.257768,POINT (121.01430555579766 14.578472222176565),0
121.01458333357544,14.578472222176565,7.257768,POINT (121.01458333357544 14.578472222176565),0
121.01486111135324,14.578472222176565,7.257768,POINT (121.01486111135324 14.578472222176565),0
121.015138889131,14.578472222176565,7.257768,POINT (121.015138889131 14.578472222176565),0
121.01541666690878,14.578472222176565,7.257768,POINT (121.01541666690878 14.578472222176565),0
121.01569444468656,14.578472222176565,7.257768,POINT (121.01569444468656 14.578472222176565),0
121.01597222246434,14.578472222176565,7.257768,POINT (121.01597222246434 14.578472222176565),0
121.01625000024212,14.578472222176565,7.257768,POINT (121.01625000024212 14.578472222176565),0
121.01652777801988,14.578472222176565,7.257768,POINT (121.01652777801988 14.578472222176565),0
121.01680555579767,14.578472222176565,7.257768,POINT (121.01680555579767 14.578472222176565),0
121.01708333357544,14.578472222176565,7.257768,POINT (121.01708333357544 14.578472222176565),0
121.01736111135322,14.578472222176565,7.257768,POINT (121.01736111135322 14.578472222176565),0
121.017638889131,14.578472222176565,7.257768,POINT (121.017638889131 14.578472222176565),0
121.01791666690876,14.578472222176565,7.257768,POINT (121.01791666690876 14.578472222176565),0
121.01180555579766,14.578194444398788,39.690804,POINT (121.01180555579766 14.578194444398788),0
121.01208333357545,14.578194444398788,39.690804,POINT (121.01208333357545 14.578194444398788),0
121.0123611113532,14.578194444398788,39.690804,POINT (121.0123611113532 14.578194444398788),0
