amenity,addr_city,name,x,y,geometry
education,Manila,Colegio de San Juan de Letran,120.9765627,14.59333107,"MULTIPOLYGON (((120.9768193 14.5939262, 120.9769209 14.5939375, 120.9770099 14.5939462, 120.9771054 14.5939545, 120.9771492 14.5939514, 120.9771698 14.5939355, 120.9774821 14.5935102, 120.9774719 14.5934908, 120.9768752 14.592956, 120.9763899 14.5925178, 120.9758464 14.593105, 120.9766479 14.5938268, 120.9768193 14.5939262)), ((120.9757992 14.593227, 120.9757692 14.5932569, 120.9757055 14.5933218, 120.9756246 14.5934258, 120.9756648 14.5934614, 120.9757255 14.5935159, 120.9757622 14.5935476, 120.9759266 14.5936916, 120.9759647 14.593728, 120.9759833 14.5937458, 120.9759943 14.5937543, 120.9762796 14.593767, 120.9763586 14.5936286, 120.9758446 14.5931776, 120.9757992 14.593227)))"
education,Manila,P.U.P. College of Engineering and Architechture,121.0048863,14.5993516,"MULTIPOLYGON (((121.0047197 14.599882, 121.0054588 14.5999316, 121.005514 14.5993048, 121.0059156 14.5993364, 121.0059528 14.5989822, 121.0059254 14.5988696, 121.0058522 14.5988446, 121.0048453 14.5986327, 121.0047197 14.599882)), ((121.0037325 14.5997972, 121.0046023 14.5998778, 121.0046826 14.5992315, 121.0037845 14.5991561, 121.0037325 14.5997972)))"
education,Manila,Pio del Pilar Elementary School,121.004085,14.60046455,"POLYGON ((121.0045817 14.6000834, 121.0036714 14.5999885, 121.0035859 14.6007974, 121.0040524 14.600858, 121.0040263 14.6010172, 121.0042561 14.6010476, 121.004273 14.6008389, 121.0045007 14.6008736, 121.0045817 14.6000834))"
education,Manila,Antonio A. Maceda Integrated School,121.0116252,14.6034593,"POLYGON ((121.0111626 14.6030228, 121.0111001 14.6035829, 121.0112422 14.6037519, 121.0118079 14.6040552, 121.0122556 14.6031609, 121.0120827 14.6031143, 121.0111626 14.6030228))"
education,Manila,P. Burgos Elementary School,121.010614,14.60343589,"POLYGON ((121.0111001 14.6035829, 121.0111626 14.6030228, 121.0102653 14.6029167, 121.0101662 14.6040639, 121.0102439 14.6041248, 121.0111001 14.6035829))"
education,Manila,General Emilio Aguinaldo Integrated School,121.0105652,14.58653032,"MULTIPOLYGON (((121.0110946 14.5861567, 121.0111628 14.5859781, 121.0110432 14.5859356, 121.0109363 14.5860988, 121.0110946 14.5861567)), ((121.010795 14.5860471, 121.0109288 14.5859372, 121.0109798 14.5857853, 121.0106733 14.5856675, 121.0106519 14.5857224, 121.0105419 14.5856847, 121.0099807 14.5872013, 121.010153 14.5872578, 121.010588 14.5859732, 121.010795 14.5860471)), ((121.0112207 14.5875947, 121.010697 14.5873871, 121.0106398 14.5875258, 121.0111763 14.5877172, 121.0112207 14.5875947)))"
education,Manila,San Sebastian College - Recoletos,120.9893723,14.60014792,"POLYGON ((120.9885914 14.5997061, 120.9889818 14.6004048, 120.9893217 14.601024, 120.9901203 14.6006639, 120.9898697 14.6001705, 120.9896979 14.5998002, 120.989785 14.5997619, 120.9896152 14.5994095, 120.9895555 14.599393, 120.9894279 14.5993751, 120.9892774 14.5993807, 120.9889213 14.5995317, 120.9885914 14.5997061))"
education,Manila,Holy Trinity Academy,121.00268,14.61075759,"POLYGON ((121.0033406 14.6110401, 121.0022043 14.6107052, 121.0023116 14.6103662, 121.0028829 14.6105411, 121.0029177 14.6104366, 121.0034785 14.6105938, 121.0035506 14.6103636, 121.0023184 14.6099652, 121.0019042 14.6111098, 121.003195 14.611493, 121.0033406 14.6110401))"
education,Manila,Carlos P. Garcia High School,121.0028588,14.59485391,"POLYGON ((121.0025884 14.5947003, 121.0024563 14.5948211, 121.0028886 14.5952574, 121.003015 14.5951112, 121.0030966 14.5949388, 121.0031985 14.5945483, 121.0029681 14.5945589, 121.002936 14.5946359, 121.0026767 14.5946196, 121.0025884 14.5947003))"
education,Manila,Gregoria de Jesus Elementary School,120.9752636,14.62783582,"MULTIPOLYGON (((120.9753391 14.6280553, 120.9752685 14.6275197, 120.9749833 14.627553, 120.9750026 14.6277341, 120.9749269 14.6277568, 120.9751394 14.6280682, 120.9751743 14.6280838, 120.9753391 14.6280553)), ((120.9756216 14.6281811, 120.9755454 14.627681, 120.9754203 14.6276988, 120.9754965 14.628199, 120.9756216 14.6281811)))"
education,Manila,Ignacio Villamor High School,121.008567,14.57612582,"MULTIPOLYGON (((121.008735 14.5763258, 121.008827 14.5762349, 121.0087513 14.5757527, 121.0082604 14.5758052, 121.0081865 14.575578, 121.0079972 14.5756305, 121.0081764 14.5761079, 121.008735 14.5763258)), ((121.0090982 14.5769427, 121.0091163 14.57652, 121.0089145 14.5764592, 121.0089091 14.5769362, 121.0090982 14.5769427)))"
education,Manila,Concordia College,121.0025047,14.58092349,"POLYGON ((121.0016296 14.5816125, 121.0019995 14.5820596, 121.0024246 14.5821663, 121.0026275 14.5821166, 121.0029358 14.5820648, 121.0033295 14.5801385, 121.0030345 14.5800116, 121.003262 14.5792481, 121.0031111 14.5792154, 121.0028829 14.5799634, 121.0021866 14.5796661, 121.001896 14.5805664, 121.0016296 14.5816125))"
education,Manila,Colegio de Santa Rosa,120.9747988,14.59252085,"POLYGON ((120.9743889 14.5924698, 120.9746192 14.5926833, 120.9748378 14.5929015, 120.9748801 14.5929018, 120.9751894 14.592604, 120.975192 14.5925568, 120.9747245 14.5921195, 120.9743889 14.5924698))"
education,Manila,University of Santo Tomas,120.989504,14.60982426,"POLYGON ((120.9896551 14.6127914, 120.9902858 14.6121245, 120.9910805 14.6113512, 120.9925186 14.6097801, 120.9925724 14.6097211, 120.9922834 14.6094668, 120.9921266 14.6093306, 120.9914889 14.6087753, 120.9912803 14.608595, 120.9909643 14.6083053, 120.99063 14.6079988, 120.9893757 14.606849, 120.9864093 14.6099051, 120.9877198 14.6110509, 120.9896551 14.6127914))"
education,Manila,Pamantasan ng Lungsod ng Maynila,120.9764033,14.58683033,"POLYGON ((120.9761722 14.5858654, 120.9753381 14.5869727, 120.9753444 14.5870715, 120.976494 14.5878606, 120.9772171 14.5870083, 120.977382 14.5868113, 120.9773838 14.5867817, 120.977398 14.5867643, 120.9774259 14.5867303, 120.9775261 14.5866028, 120.9775183 14.5865685, 120.9773888 14.5865012, 120.9773784 14.5864961, 120.9773548 14.5864855, 120.9773353 14.5864755, 120.9773302 14.5864327, 120.9771694 14.5863476, 120.9765957 14.5860565, 120.9762291 14.5858687, 120.9761722 14.5858654))"
